week,price
1,0.32
2,0.32
3,0.33
4,0.32
5,0.32
6,0.32
7,0.32
8,0.31
9,0.32
10,0.32
11,0.33
12,0.32
13,0.33
14,0.32
15,0.32
16,0.32
17,0.33
18,0.33
19,0.33
20,0.35
21,0.35
22,0.37
23,0.4
24,0.42
25,0.43
26,0.44
27,0.47
28,0.49
29,0.52
30,0.58
31,0.57
32,0.58
33,0.65
34,0.67
35,0.62
36,0.56
37,0.57
38,0.58
39,0.58
40,0.58
41,0.57
42,0.54
43,0.54
44,0.51
45,0.5
46,0.51
47,0.53
48,0.54
49,0.54
50,0.53
51,0.5
52,0.49
53,0.51
54,0.5
55,0.52
56,0.5
57,0.49
58,0.49
59,0.51
60,0.5
61,0.5
62,0.49
63,0.49
64,0.49
65,0.49
66,0.48
67,0.49
68,0.47
69,0.46
70,0.49
71,0.47
72,0.46
73,0.46
74,0.44
75,0.47
76,0.48
77,0.48
78,0.48
79,0.5
80,0.5
81,0.52
82,0.53
83,0.52
84,0.5
85,0.57
86,0.53
87,0.55
88,0.52
89,0.51
90,0.5
91,0.49
92,0.46
93,0.44
94,0.43
95,0.43
96,0.45
97,0.39
98,0.4
99,0.38
100,0.39
101,0.4
102,0.36
103,0.36
104,0.36
105,0.36
106,0.35
107,0.37
108,0.37
109,0.36
110,0.35
111,0.36
112,0.39
113,0.38
114,0.36
115,0.35
116,0.38
117,0.38
118,0.39
119,0.39
120,0.4
121,0.4
122,0.42
123,0.44
124,0.43
125,0.45
126,0.63
127,0.63
128,0.62
129,0.63
130,0.6
131,0.62
132,0.57
133,0.55
134,0.55
135,0.57
136,0.59
137,0.59
138,0.61
139,0.64
140,0.65
141,0.65
142,0.64
143,0.6
144,0.55
145,0.54
146,0.53
147,0.52
148,0.54
149,0.53
150,0.52
151,0.52
152,0.52
153,0.5
154,0.49
155,0.49
156,0.5
157,0.5
158,0.5
159,0.5
160,0.48
161,0.47
162,0.46
163,0.46
164,0.46
165,0.46
166,0.47
167,0.47
168,0.49
169,0.48
170,0.48
171,0.47
172,0.51
173,0.51
174,0.5
175,0.5
176,0.5
177,0.52
178,0.49
179,0.52
180,0.51
181,0.52
182,0.52
183,0.5
184,0.5
185,0.54
186,0.63
187,0.62
188,0.61
189,0.6
190,0.6
191,0.59
192,0.59
193,0.62
194,0.62
195,0.6
196,0.56
197,0.57
198,0.52
199,0.49
200,0.49
201,0.47
202,0.45
203,0.45
204,0.45
205,0.45
206,0.44
207,0.44
208,0.44
209,0.44
210,0.45
211,0.44
212,0.46
213,0.46
214,0.46
215,0.46
216,0.45
217,0.46
218,0.46
219,0.47
220,0.48
221,0.46
222,0.46
223,0.48
224,0.48
225,0.45
226,0.43
227,0.44
228,0.42
229,0.45
230,0.46
231,0.44
232,0.45
233,0.41
234,0.41
235,0.46
236,0.48
237,0.43
238,0.44
239,0.45
240,0.5
241,0.54
242,0.55
243,0.54
244,0.49
245,0.56
246,0.54
247,0.55
248,0.56
249,0.57
250,0.55
251,0.55
252,0.53
253,0.53
254,0.55
255,0.56
256,0.53
257,0.52
258,0.53
259,0.53
260,0.55
261,0.54
262,0.54
263,0.53
264,0.51
265,0.53
266,0.51
267,0.55
268,0.55
269,0.53
270,0.54
271,0.55
272,0.56
273,0.57
274,0.57
275,0.57
276,0.57
277,0.56
278,0.62
279,0.73
280,0.74
281,0.81
282,0.84
283,0.87
284,0.85
285,0.88
286,0.91
287,0.91
288,0.98
289,0.97
290,0.96
291,0.96
292,0.98
293,1.03
294,1.06
295,1.06
296,1.05
297,0.95
298,0.8
299,0.75
300,0.75
301,0.71
302,0.67
303,0.65
304,0.63
305,0.56
306,0.56
307,0.57
308,0.56
309,0.56
310,0.55
311,0.54
312,0.54
313,0.52
314,0.53
315,0.53
316,0.54
317,0.54
318,0.53
319,0.54
320,0.55
