week,price
1,0.33
2,0.34
3,0.34
4,0.33
5,0.33
6,0.33
7,0.33
8,0.33
9,0.33
10,0.34
11,0.34
12,0.34
13,0.34
14,0.34
15,0.34
16,0.35
17,0.35
18,0.36
19,0.34
20,0.33
21,0.33
22,0.31
23,0.3
24,0.31
25,0.33
26,0.33
27,0.34
28,0.35
29,0.35
30,0.33
31,0.33
32,0.32
33,0.32
34,0.32
35,0.32
36,0.39
37,0.4
38,0.39
39,0.43
40,0.46
41,0.45
42,0.47
43,0.45
44,0.45
45,0.42
46,0.41
47,0.41
48,0.4
49,0.35
50,0.34
51,0.33
52,0.32
53,0.33
54,0.33
55,0.31
56,0.32
57,0.34
58,0.34
59,0.4
60,0.39
61,0.39
62,0.4
63,0.4
64,0.4
65,0.4
66,0.45
67,0.44
68,0.42
69,0.4
70,0.4
71,0.38
72,0.36
73,0.34
74,0.33
75,0.33
76,0.33
77,0.34
78,0.33
79,0.3
80,0.31
81,0.34
82,0.32
83,0.31
84,0.33
85,0.33
86,0.32
87,0.33
88,0.36
89,0.35
90,0.35
91,0.35
92,0.35
93,0.35
94,0.35
95,0.39
96,0.41
97,0.41
98,0.39
99,0.43
100,0.42
101,0.43
102,0.39
103,0.39
104,0.39
105,0.39
106,0.4
107,0.4
108,0.41
109,0.43
110,0.43
111,0.43
112,0.42
113,0.44
114,0.45
115,0.47
116,0.42
117,0.44
118,0.46
119,0.45
120,0.46
121,0.46
122,0.46
123,0.46
124,0.43
125,0.39
126,0.39
127,0.35
128,0.4
129,0.4
130,0.4
131,0.4
132,0.39
133,0.38
134,0.39
135,0.39
136,0.38
137,0.4
138,0.39
139,0.38
140,0.37
141,0.36
142,0.36
143,0.36
144,0.37
145,0.37
146,0.36
147,0.37
148,0.37
149,0.4
150,0.39
151,0.39
152,0.39
153,0.39
154,0.39
155,0.39
156,0.38
157,0.38
158,0.39
159,0.38
160,0.38
161,0.38
162,0.39
163,0.39
164,0.39
165,0.41
166,0.43
167,0.45
168,0.46
169,0.45
170,0.48
171,0.46
172,0.45
173,0.45
174,0.43
175,0.42
176,0.42
177,0.4
178,0.39
179,0.41
180,0.42
181,0.42
182,0.46
183,0.45
184,0.43
185,0.41
186,0.41
187,0.41
188,0.39
189,0.4
190,0.4
191,0.4
192,0.4
193,0.4
194,0.4
195,0.41
196,0.42
197,0.42
198,0.43
199,0.44
200,0.45
201,0.45
202,0.45
203,0.44
204,0.42
205,0.41
206,0.43
207,0.41
208,0.4
209,0.43
210,0.42
211,0.43
212,0.45
213,0.45
214,0.45
215,0.44
216,0.44
217,0.44
218,0.44
219,0.44
220,0.46
221,0.47
222,0.46
223,0.47
224,0.47
225,0.47
226,0.47
227,0.47
228,0.44
229,0.47
230,0.46
231,0.54
232,0.55
233,0.57
234,0.57
235,0.57
236,0.57
237,0.58
238,0.5
239,0.47
240,0.45
241,0.43
242,0.43
243,0.43
244,0.44
245,0.43
246,0.43
247,0.43
248,0.44
249,0.45
250,0.44
251,0.47
252,0.48
253,0.46
254,0.47
255,0.51
256,0.45
257,0.47
258,0.47
259,0.47
260,0.48
261,0.46
262,0.44
263,0.45
264,0.46
265,0.45
266,0.45
267,0.46
268,0.47
269,0.48
270,0.48
271,0.47
272,0.47
273,0.48
274,0.49
275,0.52
276,0.54
277,0.58
278,0.56
279,0.56
280,0.56
281,0.54
282,0.53
283,0.53
284,0.55
285,0.52
286,0.53
287,0.51
288,0.49
289,0.47
290,0.48
291,0.49
292,0.48
293,0.49
294,0.49
295,0.5
296,0.47
297,0.47
298,0.48
299,0.5
300,0.48
301,0.48
302,0.48
303,0.48
304,0.44
305,0.44
306,0.46
307,0.47
308,0.46
309,0.47
310,0.48
311,0.46
312,0.46
313,0.47
314,0.45
315,0.46
316,0.47
317,0.49
318,0.48
319,0.45
320,0.47
